unit,ust0,ust0,ust0,ust0,ust0,ust0,ust1,ust1,ust1,ust1,ust1,ust1,ust2,ust2,ust2,ust2,ust2,ust2,ust3,ust3,ust3,ust3,ust3,ust3,ust4,ust4,ust4,ust4,ust4,ust4,ust5,ust5,ust5,ust5,ust5,ust5,ust6,ust6,ust6,ust6,ust6,ust6,ust7,ust7,ust7,ust7,ust7,ust7,ust8,ust8,ust8,ust8,ust8,ust8,ust9,ust9,ust9,ust9,ust9,ust9
time,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist
2023-01-01 00:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 01:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 02:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 03:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 04:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 05:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 06:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 07:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 08:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 09:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 10:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 11:00:00+01:00,False,False,True,0.25553689558269044,25553.689558269045,22.642414261412778,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 12:00:00+01:00,False,False,True,0.0,25553.689558269045,22.642414261412778,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
