unit,hst0,hst0,hst0,hst0,hst0,hst0,hst1,hst1,hst1,hst1,hst1,hst1,hst2,hst2,hst2,hst2,hst2,hst2,hst3,hst3,hst3,hst3,hst3,hst3,hst4,hst4,hst4,hst4,hst4,hst4
time,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist
2023-01-01 00:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 01:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 02:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 03:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 04:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 05:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 06:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 07:00:00+01:00,False,False,True,0.0,3238.588548359985,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 08:00:00+01:00,False,False,True,0.0,3238.588548359985,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 09:00:00+01:00,False,False,True,0.0,3238.588548359985,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 10:00:00+01:00,True,False,False,0.0,0.0,0.0,False,False,True,0.0,3475.8288744791994,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 11:00:00+01:00,True,False,False,0.0,0.0,0.0,False,False,True,0.0,3475.8288744791994,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 12:00:00+01:00,True,False,False,0.0,0.0,0.0,False,False,True,0.0,3475.8288744791994,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 13:00:00+01:00,True,False,False,0.0,0.0,0.0,False,False,True,0.0,3475.8288744791994,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 14:00:00+01:00,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,1953.5658527006965,0.0,False,False,True,0.0,2926.5709698855953,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 15:00:00+01:00,False,False,True,0.0,3105.901819073873,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,1953.5658527006965,0.0,False,False,True,0.0,2926.5709698855953,0.0,False,False,True,0.0,2953.4970340535006,0.0
2023-01-01 16:00:00+01:00,False,False,True,0.0,3105.901819073873,0.0,False,False,True,0.0,2937.898164678765,0.0,False,False,True,0.0,1953.5658527006965,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,2953.4970340535006,0.0
2023-01-01 17:00:00+01:00,True,False,False,0.0,0.0,0.0,False,False,True,0.0,2937.898164678765,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2023-01-01 18:00:00+01:00,True,False,False,0.0,0.0,0.0,False,False,True,0.0,2937.898164678765,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
